"level";"id";"parent_id";"object_id";"object_type";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message";"from"
"0";"1";"None";"181375448581167";"seed";"";"None";"None";"";"";"";"";"";""
"1";"2";"1";"181375448581167_269310084612254";"data";"fetched (200)";"2021-01-20 10:23:46.648939";"Facebook:/<page-id>/posts";"Premierul României, Florin Cîţu, în direct la Radio Europa FM.";"2021-01-19T16:17:02+0000";"";"";"";"{""name"": ""Partidul Na\u0163ional Liberal"", ""id"": ""181375448581167""}"
"1";"3";"1";"181375448581167_3892383224147019";"data";"fetched (200)";"2021-01-20 10:23:46.648939";"Facebook:/<page-id>/posts";"Premierul Florin Cîţu: ”Banca Mondială CONFIRMĂ: măsurile pe care le-am luat în contextul pandemiei COVID-19 clasează România în topul țărilor cu cele mai multe și aplicate măsuri din lume. Cele mai importante și de succes măsuri luate în România au fost: amânarea ratelor bancare, IMM Invest, suspendarea executărilor silite prin poprire, eliminarea dobânzilor și penalitățile de întârziere, prorogarea termenului pentru restructurarea obligațiilor bugetare, derogarea de la plata impozitului pe profit, amânarea la plata pentru serviciile de utilități pentru IMM-uri, prorogarea termenului de plată pentru impozitul pe clădiri, terenuri și mijloace de transport. Banca Mondială a analizat un număr de 154 de țări și un total de peste 3000 de măsuri financiare luate de către acestea în contextul pandemiei. Analiza concluzionează că România, alături de țări precum SUA, Germania, Franța sau Australia, a avut cel mai ridicat nivel de activitate, ca număr și aplicabilitate, la nivelul măsurilor financiare adoptate ca răspuns la criza provocată de COVID-19. ”";"2021-01-19T15:46:33+0000";"";"";"";"{""name"": ""Partidul Na\u0163ional Liberal"", ""id"": ""181375448581167""}"
"1";"4";"1";"181375448581167_3892371344148207";"data";"fetched (200)";"2021-01-20 10:23:46.648939";"Facebook:/<page-id>/posts";"Premierul Florin Cîţu: ”Astăzi, împreună cu ministrul dezvoltării, lucrărilor publice și administrației, Attila Cseke, am avut consultări cu reprezentanții Asociației Municipiilor din România. Am subliniat că proiectul de buget pe 2021 va reflecta nevoile de finanțare ale autorităților locale și va ține cont de un principiu de bază: cheltuirea eficientă, performantă și transparentă a banului public. Am discutat și despre modalității de gestionare a situației provocate de pandemia COVID-19 și a procesului de vaccinare a populației împotriva acestui virus. Am agreat, de principiu, modificări legislative care să asigure finanțarea și să faciliteze amenajarea și dotarea centrelor de vaccinare organizate la nivel local.”";"2021-01-19T15:40:44+0000";"";"";"";"{""name"": ""Partidul Na\u0163ional Liberal"", ""id"": ""181375448581167""}"
"1";"5";"1";"181375448581167_3892329664152375";"data";"fetched (200)";"2021-01-20 10:23:46.648939";"Facebook:/<page-id>/posts";"Președintele Klaus Iohannis: ”Am vizitat astăzi cel mai mare centru de vaccinare, amenajat în București, la Romexpo, unde vor putea fi administrate până la 4.000 de doze pe zi. Sunt bucuros că foarte multă lume dorește să se vaccineze, este o schimbare de atitudine pe care o salut. În săptămânile și lunile următoare, vor veni din ce în ce mai multe doze de vaccin, iar tot mai mulți români vor beneficia efectiv de campania de imunizare. Însă atrag din nou atenția: vaccinarea singură nu rezolvă pandemia! Ne dorim cu toții să ne întoarcem cât se poate de repede la o viață normală, dar acest lucru este posibil doar dacă respectăm restricțiile și dacă 60-70% din populație este vaccinată. Dacă facem lucrurile așa cum trebuie, putem deja în această vară să stopăm epidemia de COVID-19.”";"2021-01-19T15:19:56+0000";"";"";"";"{""name"": ""Partidul Na\u0163ional Liberal"", ""id"": ""181375448581167""}"
"1";"6";"1";"181375448581167_3693062070772619";"data";"fetched (200)";"2021-01-20 10:23:46.648939";"Facebook:/<page-id>/posts";"RO Vaccinare-Conferință de presă susținută de președintele Comitetului național de coordonare a activităților privind vaccinarea împotriva SARS-CoV-2 (CNCAV), Valeriu Gheorghiță  Participă secretarul de stat în Ministerul Sănătății și vicepreședinte CNCAV Andrei Baciu, directorul Centrului Național de Supraveghere și Control al Bolilor Transmisibile din cadrul INSP, Adriana Pistol, și doctorul Călin Alexandru, Departamentul pentru Situații de Urgență";"2021-01-19T13:31:30+0000";"";"";"";"{""name"": ""Partidul Na\u0163ional Liberal"", ""id"": ""181375448581167""}"
"1";"7";"1";"181375448581167_3891737177544957";"data";"fetched (200)";"2021-01-20 10:23:46.648939";"Facebook:/<page-id>/posts";"ℹ️ Președintele Camerei Deputaților, Ludovic Orban, s-a vaccinat împotriva COVID-19, în cea de-a doua etapă a campaniei, la Spitalul Universitar de Urgență Militar ”Dr. Carol Davila”.  Ludovic Orban: ”Am luat decizia de a mă vaccina, în special cu obiectivul de a arăta românilor că trebuie să aibă încredere în vaccin, că nu există niciun risc în procesul de vaccinare. Vaccinarea cetăţenilor români reprezintă singura cale pentru a reveni la o viaţă normală și pentru a putea relua procesul de creştere economică. Cred că această campanie de vaccinare este fundamentală pentru evoluţia ulterioară a societăţii româneşti şi a economiei.   Apreciez solidaritatea în abordarea campaniei de vaccinare la nivel european. Comisia Europeană s-a implicat extrem de serios pentru a susţine procesul de vaccinare în toate ţările Uniunii Europene. Deja există două vaccinuri aprobate, cantitatea de vaccinuri disponibilă pentru România va creşte în timp. De asemenea, capacitatea, infrastructura, logistica necesară va permite vaccinarea unui număr din ce în ce mai mare de cetăţeni români astfel încât într-un timp cât mai scurt să reuşim să învingem pandemia.”";"2021-01-19T10:21:23+0000";"";"";"";"{""name"": ""Partidul Na\u0163ional Liberal"", ""id"": ""181375448581167""}"
"1";"8";"1";"181375448581167_162103648747875";"data";"fetched (200)";"2021-01-20 10:23:46.648939";"Facebook:/<page-id>/posts";"Declarații de presă susținute de Președintele României, Klaus Iohannis, după vizitarea centrelor de vaccinare de la Romexpo-București";"2021-01-19T10:12:31+0000";"";"";"";"{""name"": ""Partidul Na\u0163ional Liberal"", ""id"": ""181375448581167""}"
"1";"9";"1";"181375448581167_3891559637562711";"data";"fetched (200)";"2021-01-20 10:23:46.648939";"Facebook:/<page-id>/posts";"Siegfried Muresan, europarlamentar #PNL și vicepreședinte al #PPE: ""M-am întâlnit împreună cu președintele Comisiei pentru afaceri externe din Parlamentul European, David McAllister, cu președinta Republicii Moldova, Maia Sandu.   Maia Sandu reușește în prima lună de mandat ceea ce Igor Dodon nu a reușit în 4 ani - este primită de cei mai importanți lideri ai instituțiilor europene:  - președinta Comisiei Europene, Ursula von der Leyen;  - președintele Consiliului European, Charles Michel; - președintele Parlamentului European, David Sassoli; - Înaltul Reprezentat al Uniunii Europene pentru Afaceri Externe și Politica de Securitate, Josep Borell Fontelles; - și mulți comisari europeni.  Faptul că Republica Moldova este condusă astăzi de o președintă care se bucură de încredere la nivelul partenerilor internaționali înseamnă un avantaj și beneficii concrete pentru toți cetățenii Republicii Moldova.   În plus, Maia Sandu va fi primită astăzi de Regele Philippe al Belgiei și de prim-ministrul Belgiei, Alexander de Croo. Acest lucru înseamnă întărirea relațiilor bilaterale dintre Republica Moldova și Regatul Belgiei. Relațiile bilaterale strânse pe care Maia Sandu reușește să le obțină sunt în interesul cetățenilor Republicii Moldova, mai ales al oamenilor care trăiesc în diasporă.""";"2021-01-19T08:43:29+0000";"";"";"";"{""name"": ""Partidul Na\u0163ional Liberal"", ""id"": ""181375448581167""}"
"1";"10";"1";"181375448581167_1004036270120874";"data";"fetched (200)";"2021-01-20 10:23:46.648939";"Facebook:/<page-id>/posts";"Declarații de presă susținute de Președintele Camerei Deputaților, Ludovic Orban, de la Spitalul Universitar de Urgență Militar ”Dr. Carol Davila";"2021-01-19T08:26:05+0000";"";"";"";"{""name"": ""Partidul Na\u0163ional Liberal"", ""id"": ""181375448581167""}"
"1";"11";"1";"181375448581167_1561653494038523";"data";"fetched (200)";"2021-01-20 10:23:46.648939";"Facebook:/<page-id>/posts";"Președintele Camerei Deputaților, Ludovic Orban, se vaccineaza împotriva COVID-19, în cea de-a doua etapă a campaniei, la Spitalul Universitar de Urgență Militar ”Dr. Carol Davila";"2021-01-19T07:55:58+0000";"";"";"";"{""name"": ""Partidul Na\u0163ional Liberal"", ""id"": ""181375448581167""}"
